"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class_weight","dataset","es_metric","es_patience","gpu_ids","group","lr","mode","model","momentum","n_epochs","n_train_samples","name","no_pretrain","no_wandb","offline","project","scheduler_patience","seed","y_labels","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","train_precision","train_recall","val_accuracy","val_f1","val_loss","val_precision","val_recall"
"alexnet_n=40_all (2024.05.21. 23:47)","finished","-","","","2024-05-21T15:47:40.000Z","1708","","100","false","fayoum","loss","30","[0,1]","alexnet_n=40_all","0.0001","all","alexnet","0.9","5000","40","alexnet_n=40_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.875","0.8617936372756958","0.855701744556427","0.875","0.8661057949066162","0.8544030785560608","0.002594488440081477","0.8452543616294861","0.8661057949066162","0.8159340620040894","0.8039835095405579","6.582509182393551","0.7977994084358215","0.8159340620040894"
"resnet50_n=8_clf (2024.05.21. 23:24)","finished","-","","","2024-05-21T15:24:00.000Z","11134","","100","false","fayoum","loss","30","[0,1]","resnet50_n=8_clf","0.0001","clf","resnet50","0.9","5000","8","resnet50_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.6891081929206848","0.6978431344032288","0.7206002473831177","0.6891081929206848","0.7098960876464844","0.7011528015136719","0.003518109971826727","0.7139948606491089","0.7098960876464844","0.7469295859336853","0.7247686386108398","6.167593002319336","0.7399267554283142","0.7469295859336853"
"resnet50_n=40_all (2024.05.21. 22:54)","finished","-","","","2024-05-21T14:54:25.000Z","3169","","100","false","fayoum","loss","30","[0,1]","resnet50_n=40_all","0.0001","all","resnet50","0.9","5000","40","resnet50_n=40_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8888888955116272","0.8782752156257629","0.8805555105209351","0.8888888955116272","0.9091046452522278","0.90827876329422","0.0289083868265152","0.9149766564369202","0.9091046452522278","0.8232061862945557","0.8167127370834351","7.634525001049042","0.8370798230171204","0.8232061862945557"
"alexnet_n=20_all (2024.05.21. 22:31)","finished","-","","","2024-05-21T14:31:22.000Z","1379","","100","false","fayoum","loss","30","[0,1]","alexnet_n=20_all","0.0001","all","alexnet","0.9","5000","20","alexnet_n=20_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.868055522441864","0.8574009537696838","0.867559552192688","0.868055522441864","0.8758896589279175","0.8734484910964966","0.0007594802365120915","0.880894660949707","0.8758896589279175","0.8379120826721191","0.8322122097015381","4.8503991812467575","0.8521825075149536","0.8379120826721191"
"alexnet_n=4_clf (2024.05.21. 22:09)","finished","-","","","2024-05-21T14:09:28.000Z","4468","","100","false","fayoum","loss","30","[0,1]","alexnet_n=4_clf","0.0001","clf","alexnet","0.9","5000","4","alexnet_n=4_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.5052631497383118","0.5435468554496765","0.6140866875648499","0.5052631497383118","0.48753684759140015","0.5017277002334595","0.000012150390168905936","0.5745909810066223","0.48753684759140015","0.6121525764465332","0.6069769859313965","3.5526843829588457","0.618073582649231","0.6121525764465332"
"resnet50_n=4_clf (2024.05.21. 22:07)","finished","-","","","2024-05-21T14:07:52.000Z","91","","100","false","fayoum","loss","30","[0,1]","resnet50_n=4_clf","0.0001","clf","resnet50","0.9","5000","4","resnet50_n=4_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.5060672760009766","0.45142728090286255","0.5508454442024231","0.5060672760009766","0.36900460720062256","0.3593631386756897","0.1181983622637662","0.4613021910190582","0.36900460720062256","0.40492352843284607","0.3810439705848694","5.366344321857799","0.4748931527137756","0.40492352843284607"
"alexnet_n=all_all (2024.05.21. 22:03)","finished","-","","","2024-05-21T14:03:49.000Z","238","","100","false","fayoum","loss","30","[0,1]","alexnet_n=all_all","0.0001","all","alexnet","0.9","5000","-1","alexnet_n=all_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8958333134651184","0.9037227630615234","0.945652186870575","0.8958333134651184","0.9007864594459534","0.9135092496871948","2.690965209156275","0.9450287222862244","0.9007864594459534","0.8571428656578064","0.866995096206665","10.187210753560066","0.9392361044883728","0.8571428656578064"
"resnet50_n=20_all (2024.05.21. 22:01)","finished","-","","","2024-05-21T14:01:15.000Z","1781","","100","false","fayoum","loss","30","[0,1]","resnet50_n=20_all","0.0001","all","resnet50","0.9","5000","20","resnet50_n=20_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8022660613059998","0.7714160680770874","0.7648809552192688","0.8022660613059998","0.8019310235977173","0.77274489402771","0.015730962364210024","0.7608814239501953","0.8019310235977173","0.79557204246521","0.767989456653595","10.016861339410148","0.7589285373687744","0.79557204246521"
"resnet50_n=all_all (2024.05.21. 20:51)","finished","-","","","2024-05-21T12:51:57.000Z","4307","","100","false","fayoum","loss","30","[0,1]","resnet50_n=all_all","0.0001","all","resnet50","0.9","5000","-1","resnet50_n=all_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8611111044883728","0.8652117848396301","0.8990683555603027","0.8611111044883728","1","1","0.8281581718474627","1","1","0.8379120826721191","0.8468625545501709","10.861655801534653","0.8807692527770996","0.8379120826721191"
"alexnet_n=120_all (2024.05.21. 20:38)","finished","-","","","2024-05-21T12:38:55.000Z","778","","100","false","fayoum","loss","30","[0,1]","alexnet_n=120_all","0.0001","all","alexnet","0.9","5000","120","alexnet_n=120_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.9444444179534912","0.9471210241317748","0.95095694065094","0.9444444179534912","0.91303688287735","0.9039958119392396","0.2693548100069165","0.8988057971000671","0.91303688287735","0.8543956279754639","0.8582417964935303","8.87294165790081","0.8643162250518799","0.8543956279754639"
"resnet50_n=120_all (2024.05.21. 19:26)","finished","-","","","2024-05-21T11:26:12.000Z","4358","","100","false","fayoum","loss","30","[0,1]","resnet50_n=120_all","0.0001","all","resnet50","0.9","5000","120","resnet50_n=120_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.868055522441864","0.8717948794364929","0.884920597076416","0.868055522441864","0.969298243522644","0.9546518325805664","0.25801192969083786","0.9462733268737792","0.969298243522644","0.8901098966598511","0.89384925365448","10.143213018774986","0.902255654335022","0.8901098966598511"
